operation,timestamp,time_diff,key_presses,mouse_activity,file_size,file_extension,entropy,cpu_usage,memory_usage,io_read_count,io_write_count,shadow_copy_count,restore_point_count,registry_edits,firewall_disabled,defender_disabled,task_manager_disabled,sequential_operations,operation_sequence_length
deleted,2025-01-24 11:37:54,0,2,538,0,.encrypted,0.0,0.042,0.706,272.0,508.0,0,0,7,False,False,False,0,1
deleted,2025-01-24 11:37:54,0,2,538,0,.encrypted,0.0,0.16,0.706,240.0,184.0,1,1,7,False,False,False,0,1
encrypted,2025-01-24 11:37:57,3.227,8,97,5.101818134227409,.encrypted,7.978,0.7929999999999999,0.706,220.0,512.0,0,0,7,False,False,False,0,2
encrypted,2025-01-24 11:37:57,3.227,8,97,5.101818134227409,.encrypted,7.978,0.292,0.713,220.0,512.0,1,1,7,False,False,False,0,2
deleted,2025-01-24 11:38:00,2.147,4,33,0,.encrypted,0.0,0.31,0.7120000000000001,64.0,276.0,1,1,7,False,False,False,0,3
deleted,2025-01-24 11:38:00,0.014,0,0,0,.encrypted,0.0,0.31,0.7120000000000001,64.0,276.0,1,1,7,False,False,False,0,4
deleted,2025-01-24 11:38:00,0.0,0,0,0,.encrypted,0.0,0.31,0.7120000000000001,64.0,276.0,1,1,7,False,False,False,0,5
deleted,2025-01-24 11:38:00,2.145,4,33,0,.encrypted,0.0,0.52,0.708,368.5,372.0,0,0,7,False,False,False,0,3
deleted,2025-01-24 11:38:00,0.022,0,0,0,.encrypted,0.0,0.52,0.708,368.5,372.0,0,0,7,False,False,False,0,4
deleted,2025-01-24 11:38:00,0.0,0,0,0,.encrypted,0.0,0.52,0.708,368.5,372.0,0,0,7,False,False,False,0,5
created,2025-01-24 11:38:06,5.892,11,92,4.5915597458278015,.encrypted,7.98,0.36,0.708,0,4.0,0,0,7,False,False,False,0,6
modified,2025-01-24 11:38:06,0.028,0,0,4.5915597458278015,.encrypted,7.98,0.36,0.708,0,4.0,0,0,7,False,False,False,0,7
created,2025-01-24 11:38:06,5.9,11,92,4.5915597458278015,.encrypted,7.98,0.185,0.7070000000000001,0,12.0,1,1,7,False,False,False,0,6
modified,2025-01-24 11:38:06,0.05,0,0,4.5915597458278015,.encrypted,7.98,0.185,0.7070000000000001,0,12.0,1,1,7,False,False,False,0,7
created,2025-01-24 11:38:06,0.214,2,0,4.5915597458278015,.encrypted,7.98,0.36,0.708,0,4.0,0,0,7,False,False,False,0,8
created,2025-01-24 11:38:06,0.19,2,0,4.5915597458278015,.encrypted,7.98,0.185,0.7070000000000001,0,12.0,1,1,7,False,False,False,0,8
modified,2025-01-24 11:38:06,0.017,0,0,4.5915597458278015,.encrypted,7.98,0.36,0.708,0,4.0,0,0,7,False,False,False,0,9
modified,2025-01-24 11:38:06,0.019,0,0,4.5915597458278015,.encrypted,7.98,0.185,0.7070000000000001,0,12.0,1,1,7,False,False,False,0,9
modified,2025-01-24 11:38:08,2.614,2,67,2.321928094887362,,0.0,0.5,0.713,16.0,184.0,0,0,7,False,False,False,0,10
modified,2025-01-24 11:38:08,2.612,2,67,2.321928094887362,,0.0,0.308,0.713,128.0,392.0,1,1,7,False,False,False,0,10
deleted,2025-01-24 11:38:08,0.028,0,0,0,,0.0,0.5,0.713,16.0,184.0,0,0,7,False,False,False,0,11
deleted,2025-01-24 11:38:08,0.028,0,0,0,,0.0,0.308,0.713,128.0,392.0,1,1,7,False,False,False,0,11
created,2025-01-24 11:38:18,9.681,7,463,0,.zip,0.0,0.5,0.7170000000000001,220.0,336.0,0,0,7,False,False,False,0,12
created,2025-01-24 11:38:18,9.681,7,463,0,.zip,0.0,0.667,0.718,220.0,336.0,1,1,7,False,False,False,0,12
modified,2025-01-24 11:38:18,0.041,0,0,5.065227622775619,.encrypted,7.975,0.5,0.7170000000000001,220.0,336.0,0,0,7,False,False,False,0,13
modified,2025-01-24 11:38:18,0.039,0,0,1.3045110418099528,.encrypted,7.866,0.5,0.7170000000000001,220.0,336.0,0,0,7,False,False,False,0,14
modified,2025-01-24 11:38:18,0.012,0,0,4.3298411765306275,.encrypted,7.978,0.5,0.7170000000000001,220.0,336.0,0,0,7,False,False,False,0,15
modified,2025-01-24 11:38:18,0.025,0,0,3.527320607877047,.encrypted,7.977,0.5,0.7170000000000001,220.0,336.0,0,0,7,False,False,False,0,16
modified,2025-01-24 11:38:18,0.022,0,0,10.173439790323979,.zip,7.974,0.5,0.7170000000000001,220.0,336.0,0,0,7,False,False,False,0,17
modified,2025-01-24 11:38:18,0.02,0,0,3.475084882948783,.encrypted,7.979,0.5,0.7170000000000001,220.0,336.0,0,0,7,False,False,False,0,18
modified,2025-01-24 11:38:18,0.021,0,0,3.4982508675278257,.encrypted,7.978,0.5,0.7170000000000001,220.0,336.0,0,0,7,False,False,False,0,19
modified,2025-01-24 11:38:18,0.026,0,0,10.062019145979859,.encrypted,7.977,0.5,0.7170000000000001,220.0,336.0,0,0,7,False,False,False,0,0
modified,2025-01-24 11:38:18,0.037,0,0,4.3298411765306275,.encrypted,7.978,0.5,0.7170000000000001,220.0,336.0,0,0,7,False,False,False,1,1
modified,2025-01-24 11:38:18,0.041,0,0,5.065227622775619,.encrypted,7.975,0.667,0.718,220.0,336.0,1,1,7,False,False,False,0,13
modified,2025-01-24 11:38:18,0.232,0,0,1.3045110418099528,.encrypted,7.866,0.667,0.718,220.0,336.0,1,1,7,False,False,False,0,14
modified,2025-01-24 11:38:18,0.01,0,0,4.3298411765306275,.encrypted,7.978,0.667,0.718,220.0,336.0,1,1,7,False,False,False,0,15
modified,2025-01-24 11:38:18,0.002,0,0,3.527320607877047,.encrypted,7.977,0.667,0.718,220.0,336.0,1,1,7,False,False,False,0,16
modified,2025-01-24 11:38:18,0.002,0,0,10.173439790323979,.zip,7.974,0.667,0.718,220.0,336.0,1,1,7,False,False,False,0,17
modified,2025-01-24 11:38:18,0.002,0,0,3.475084882948783,.encrypted,7.979,0.667,0.718,220.0,336.0,1,1,7,False,False,False,0,18
modified,2025-01-24 11:38:18,0.002,0,0,3.4982508675278257,.encrypted,7.978,0.667,0.718,220.0,336.0,1,1,7,False,False,False,0,19
modified,2025-01-24 11:38:18,0.002,0,0,10.062019145979859,.encrypted,7.977,0.667,0.718,220.0,336.0,1,1,7,False,False,False,0,0
modified,2025-01-24 11:38:18,0.004,0,0,4.3298411765306275,.encrypted,7.978,0.667,0.718,220.0,336.0,1,1,7,False,False,False,1,1
modified,2025-01-24 11:38:20,1.485,1,54,10.173439790323979,.zip,7.974,0.536,0.721,1749.5,1952.0,0,0,7,False,False,False,0,2
modified,2025-01-24 11:38:20,1.429,1,54,10.173439790323979,.zip,7.974,0.308,0.722,1749.5,1952.0,1,1,7,False,False,False,0,2
created,2025-01-24 11:38:59,39.641,5,1284,4.144862142915734,.txt,5.995,0.72,0.7170000000000001,64.0,2724.0,0,0,11,True,True,True,0,3
modified,2025-01-24 11:38:59,0.018,0,0,4.144862142915734,.txt,5.995,0.72,0.7170000000000001,64.0,2724.0,0,0,11,True,True,True,0,4
created,2025-01-24 11:38:59,39.641,12,1310,4.144862142915734,.txt,5.995,0.259,0.723,64.0,2720.0,0,0,11,True,True,True,0,3
modified,2025-01-24 11:38:59,0.022,0,0,4.144862142915734,.txt,5.995,0.259,0.723,64.0,2720.0,0,0,11,True,True,True,0,4
encrypted,2025-01-24 11:39:00,0.772,0,0,4.5915597458278015,.encrypted,7.98,0.414,0.722,176.0,184.0,0,0,11,True,True,True,0,5
encrypted,2025-01-24 11:39:00,0.777,0,0,4.5915597458278015,.encrypted,7.98,0.4,0.723,456.5,184.0,0,0,11,True,True,True,0,5
modified,2025-01-24 11:39:00,0.005,0,0,4.5915597458278015,.encrypted,7.98,0.414,0.722,176.0,184.0,0,0,11,True,True,True,0,6
